dates,stationid,dispx,dispy,dispz,temperature,humidity,rain
30-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,27.37755,79.88776,0
31-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,27.01053,83.14737,47.25
01-09-2018,t11,-0.8303269838,0.5743419825,-0.2363756288,27.51969,79.58268,45
02-09-2018,t11,-0.8303269838,0.5743419825,-0.2363756288,25.26667,88.57143,9
03-09-2018,t11,-0.8303269838,0.5743419825,-0.2363756288,25.45455,87.03788,6.75
04-09-2018,t11,-0.8303269838,0.5743419825,-0.2363756288,24.79167,86.79167,0
05-09-2018,t11,-0.9445811108,0.5845483065,-0.3594185348,26.63415,80.08537,2.25
06-09-2018,t11,-0.9445811108,0.5845483065,-0.3594185348,26.56693,74.88189,0
07-09-2018,t11,-0.9445811108,0.5845483065,-0.3594185348,26.50667,75.45333,0
08-09-2018,t11,-0.9445811108,0.5845483065,-0.3594185348,25.9084,76.63359,0
09-09-2018,t11,-0.9445811108,0.5845483065,-0.3594185348,26.21429,81.82857,13.5
10-09-2018,t11,-0.9445811108,0.5845483065,-0.3594185348,25.70667,80.53333,0
11-09-2018,t11,-0.9445811108,0.5845483065,-0.3594185348,22.91667,90.95833,0
12-09-2018,t11,-0.9445811108,0.5845483065,-0.3594185348,20.05882,91.70588,0
13-09-2018,t11,-0.9413916345,0.5958886665,-0.3317764073,22.88095,90.11905,9
14-09-2018,t11,-0.9413916345,0.5958886665,-0.3317764073,19.04,90.76,0
15-09-2018,t11,-0.9413916345,0.5958886665,-0.3317764073,25.30534,74.15267,0
16-09-2018,t11,-0.9428091795,0.593762349,-0.3310676348,24.23077,70.65035,0
17-09-2018,t11,-0.9428091795,0.593762349,-0.3310676348,23.28571,65.61039,0
18-09-2018,t11,-0.9428091795,0.593762349,-0.3310676348,25.61386,63.61386,0
19-09-2018,t11,-0.9428091795,0.593762349,-0.3310676348,26.17284,58.2963,0
20-09-2018,t11,-0.9428091795,0.593762349,-0.3310676348,21.75,60.43182,0
21-09-2018,t11,-0.9428091795,0.593762349,-0.3310676348,26.11957,66.26087,0
05-07-2018,t12,0,0,0,21,93.5,0
09-07-2018,t12,0.610961895,0.588281175,0.6712075575,25.55238,31,1
13-07-2018,t12,0.610961895,0.588281175,0.6712075575,25.55238,31,0
16-07-2018,t12,-2.045517435,-2.014331445,-1.7967382875,25.55238,86.9619,47.25
17-07-2018,t12,-2.045517435,-2.014331445,-1.7967382875,24.55639,92.56391,1710
18-07-2018,t12,-2.045517435,-2.014331445,-1.7967382875,25.97674,88.37209,15459.75
19-07-2018,t12,-2.045517435,-2.014331445,-1.7967382875,27.4,84.14815,14001.75
20-07-2018,t12,-2.045517435,-2.014331445,-1.7967382875,26.42958,90.66197,16571.25
21-07-2018,t12,-2.045517435,-2.014331445,-1.7967382875,25.27536,94.18116,1183.5
22-07-2018,t12,-2.045517435,-2.014331445,-1.7967382875,24.73611,96.68056,1962
23-07-2018,t12,-2.045517435,-2.014331445,-1.7967382875,24.39024,94.4065,1071
24-07-2018,t12,-2.045517435,-2.014331445,-1.7967382875,24.16197,97.66901,438.75
25-07-2018,t12,-2.045517435,-2.014331445,-1.7967382875,25.29323,94.84211,13666.5
26-07-2018,t12,-2.045517435,-2.014331445,-1.7967382875,22.19718,99,864
27-07-2018,t12,-2.045517435,-2.014331445,-1.7967382875,21.73239,98.95775,816.75
28-07-2018,t12,-2.045517435,-2.014331445,-1.7967382875,21.48571,99,796.5
29-07-2018,t12,-2.045517435,-2.014331445,-1.7967382875,25.5,92.52817,2.25
30-07-2018,t12,-2.045517435,-2.014331445,-1.7967382875,25.83206,88.25954,0
31-07-2018,t12,-2.045517435,-2.014331445,-1.7967382875,25.77465,91.26056,81
01-08-2018,t12,-2.045517435,-2.014331445,-1.7967382875,25.36691,91.17986,191.25
02-08-2018,t12,-2.045517435,-2.014331445,-1.7967382875,25.68148,91.37778,76.5
03-08-2018,t12,-2.045517435,-2.014331445,-1.7967382875,26.77305,90.69504,6.75
04-08-2018,t12,-2.045517435,-2.014331445,-1.7967382875,22.89286,99,4.5
11-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,24.70769,98.70769,0
12-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,23.90278,98.23611,202.5
13-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,22.09929,99,1611
14-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,24.96479,93.75352,0
15-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,25.11268,93.42958,0
16-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,25.47183,95.47183,56.25
17-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,25.00709,95.50355,38.25
18-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,24.04965,98.95745,24.75
19-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,25.90972,93.41667,0
20-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,25.58741,95.84615,92.25
21-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,23.48571,98.89286,353.25
22-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,25.30496,96.91489,4.5
23-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,23.52113,99,533.25
24-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,23.79433,98.41844,213.75
25-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,24.23077,95.67133,434.25
26-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,24.35211,96.46479,191.25
27-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,26.17857,93.72857,0
28-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,26.40559,94.02797,0
29-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,25.48592,96.12676,202.5
30-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,24.41667,98,67.5
31-08-2018,t12,-2.045517435,-2.014331445,-1.7970926738,23.72727,98.6993,594
01-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,24.93056,96.49306,409.5
02-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,22.45775,99,139.5
03-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,23.14685,99,13.5
04-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,22.74265,98.26471,99
05-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,22.85211,98.97183,13.5
06-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,23.97203,97.67832,2.25
